修正検討ワード,表記揃えワード,要検討ワード,要検討ワードの注記
ロードアイランド,ロードアイランド州,ところ,所（場所）、ところ（場合）
中南米,中央・南アメリカ,のほう,～のほう（比較）、～の方（方角）
生け花スポンジ,生け花用スポンジ,あける,（間を）空ける、（あなを）開ける
アメリカ,アメリカ合衆国,中でも,なかでも（※文頭の場合はヒラク）
避妊去勢手術,避妊・去勢手術,もの物,使い分け（明らかに物体を指す場合のみトジル）
不妊去勢手術,避妊・去勢手術,草はら,草はら（くさはら）草原（そうげん）使い分け
キッチンペーパー,ペーパータオル,あし,（人の）足、（動物の）あし
,豚熱ワクチン,いう,言う（発言）、いう（伝聞）
凝縮,ぎょうしゅく,言う,言う（発言）、いう（伝聞）
大丈夫,だいじょうぶ,の方,～のほう（比較）、～の方（方角）
北海道から九州,北海道～九州,もつ,（手に）持つ、（特徴を）もつ
,二酸化炭素,もた,（手に）持つ、（特徴を）もつ
珍,めずらしい,もち,（手に）持つ、（特徴を）もつ
状態,じょうたい,もて,（手に）持つ、（特徴を）もつ
慎重,しんちょう,もっ,（手に）持つ、（特徴を）もつ
緑豆,リョクトウ,もと,（手に）持つ、（特徴を）もつ
南米,南アメリカ,持つ,（手に）持つ、（特徴を）もつ
圧倒的,あっとう的,持た,（手に）持つ、（特徴を）もつ
蛋白質,たんぱく質,持ち,（手に）持つ、（特徴を）もつ
は虫類,はちゅう類,持て,（手に）持つ、（特徴を）もつ
圧倒てき,あっとう的,持っ,（手に）持つ、（特徴を）もつ
ガラス越し,ガラスごし,持と,（手に）持つ、（特徴を）もつ
ひっくりかえ,ひっくり返,あと,～後
ミールワーム,ミルワーム,いく,行く※goの意味の場合
,うず巻き,おく,置く※putの意味
,すりばち,かた,〇〇方※howtoの意味。
,亜生殖板,かわ,（植物などの）皮
,一生懸命,乾燥,かんそう（乾燥○○（エビ、イトミミズなど）はトジル）
,海綿動物,撮る,「（写真を）撮る」
,巻きひげ,とる,取る（一般的な使い方）
,江戸時代,なる,　「（音が）なる」→「鳴る」
,針葉樹林,上る,使い分け（一般的には上るを使用。木に登る場合のみ登る）
,単為生殖,登る,使い分け（一般的には上るを使用。木に登る場合のみ登る）
